"clust","lat","long","mobile","elect","bank","wealth","adm0","adm1","label","rural","weight"
66,0.309954,32.546801,0.947368421052632,0.842105263157895,NA,1.82867789473684,"Uganda","kampala","Uganda DHS 2011",0,15.887895
67,0.299065,32.545582,0.842105263157895,0.894736842105263,NA,1.44885894736842,"Uganda","kampala","Uganda DHS 2011",0,9.981669
69,0.286072,32.564358,1,0.842105263157895,NA,1.65098052631579,"Uganda","kampala","Uganda DHS 2011",0,12.543534
70,0.317532,32.550555,0.80952380952381,0.380952380952381,NA,0.504101904761905,"Uganda","kampala","Uganda DHS 2011",0,8.375325
72,0.304638,32.524993,0.909090909090909,0.5,NA,1.05954636363636,"Uganda","kampala","Uganda DHS 2011",0,9.893554
73,0.324509,32.533182,1,0.95,NA,1.7322445,"Uganda","kampala","Uganda DHS 2011",0,24.39382
74,0.28883,32.572195,0.916666666666667,0.583333333333333,NA,1.20370166666667,"Uganda","kampala","Uganda DHS 2011",0,8.790768
77,-0.616717,32.338252,0.608695652173913,0.0434782608695652,NA,-0.111677391304348,"Uganda","central 1","Uganda DHS 2011",1,62.980049
78,-0.364611,31.318073,0.75,0.25,NA,0.702700833333333,"Uganda","central 1","Uganda DHS 2011",0,5.167224
79,-0.301662,31.766108,0.869565217391304,0.304347826086957,NA,0.966393043478261,"Uganda","central 1","Uganda DHS 2011",0,19.730481
80,-0.377111,31.332236,0.826086956521739,0.217391304347826,NA,0.928933043478261,"Uganda","central 1","Uganda DHS 2011",0,6.184194
81,-0.149143,31.887567,0.863636363636364,0.318181818181818,NA,0.977225,"Uganda","central 1","Uganda DHS 2011",0,8.202876
84,-0.065719,31.595552,0.652173913043478,0,NA,0.0195452173913043,"Uganda","central 1","Uganda DHS 2011",1,29.525445
86,-0.439917,31.669382,0.68,0.04,NA,0.3755944,"Uganda","central 1","Uganda DHS 2011",1,36.6508
88,-0.334138,31.643582,0.6,0.04,NA,-0.2048388,"Uganda","central 1","Uganda DHS 2011",1,32.14815
90,-0.480598,31.35714,0.541666666666667,0,NA,0.00349333333333332,"Uganda","central 1","Uganda DHS 2011",1,29.53284
92,-0.380237,31.513526,0.826086956521739,0.0434782608695652,NA,0.115411739130435,"Uganda","central 1","Uganda DHS 2011",1,31.369792
95,-0.093981,31.813163,0.52,0.08,NA,-0.2305036,"Uganda","central 1","Uganda DHS 2011",1,26.48885
98,0.038669,31.704869,0.5,0,NA,-0.411309166666667,"Uganda","central 1","Uganda DHS 2011",1,38.938896
100,0.187,32.19979,0.608695652173913,0,NA,-0.00114304347826087,"Uganda","central 1","Uganda DHS 2011",1,25.598149
101,0.042744,31.867694,0.791666666666667,0,NA,-0.12824375,"Uganda","central 1","Uganda DHS 2011",1,29.217192
103,0.188008,31.797959,0.48,0,NA,-0.2598544,"Uganda","central 1","Uganda DHS 2011",1,55.767825
105,-0.067384,32.122295,0.478260869565217,0,NA,-0.205858695652174,"Uganda","central 1","Uganda DHS 2011",1,29.324149
107,0.196479,32.33155,0.863636363636364,0.136363636363636,NA,0.3782,"Uganda","central 1","Uganda DHS 2011",1,31.583046
109,0.001891,31.96699,0.5,0,NA,-0.489387916666667,"Uganda","central 1","Uganda DHS 2011",1,31.554
110,-0.241844,31.160065,0.5,0.0416666666666667,NA,-0.238052916666667,"Uganda","central 1","Uganda DHS 2011",1,43.429968
111,-0.847507,31.45713,0.75,0.0416666666666667,NA,-0.000897083333333328,"Uganda","central 1","Uganda DHS 2011",1,29.476992
112,-0.816082,31.436868,0.478260869565217,0,NA,-0.390301739130435,"Uganda","central 1","Uganda DHS 2011",1,36.663794
115,-0.672724,31.280246,0.681818181818182,0,NA,-0.35536,"Uganda","central 1","Uganda DHS 2011",1,32.271448
118,-0.555452,31.545267,0.681818181818182,0,NA,0.0884390909090909,"Uganda","central 1","Uganda DHS 2011",1,31.138008
120,-0.586264,31.666526,0.416666666666667,0,NA,-0.151555,"Uganda","central 1","Uganda DHS 2011",1,28.046904
122,-0.008755,31.445721,0.625,0,NA,-0.231972916666667,"Uganda","central 1","Uganda DHS 2011",1,41.520144
123,-0.205651,31.346449,0.545454545454545,0.0454545454545455,NA,-0.027405,"Uganda","central 1","Uganda DHS 2011",1,30.026524
126,0.303301,32.492145,0.875,0.8125,NA,1.624789375,"Uganda","central 1","Uganda DHS 2011",0,6.204352
127,0.148568,32.473697,0.954545454545455,0.863636363636364,NA,2.07891681818182,"Uganda","central 1","Uganda DHS 2011",0,8.913322
128,0.067261,32.458626,0.954545454545455,0.954545454545455,NA,1.62610909090909,"Uganda","central 1","Uganda DHS 2011",0,10.596168
129,0.059664,32.461734,1,0.857142857142857,NA,1.56288571428571,"Uganda","central 1","Uganda DHS 2011",0,9.549309
130,0.356375,32.65096,0.944444444444444,0.777777777777778,NA,1.43037055555556,"Uganda","central 1","Uganda DHS 2011",0,5.594706
131,0.391368,32.554487,0.909090909090909,0.727272727272727,NA,1.31990954545455,"Uganda","central 1","Uganda DHS 2011",0,9.001366
132,0.337865,32.496492,0.91304347826087,0.782608695652174,NA,1.70710043478261,"Uganda","central 1","Uganda DHS 2011",0,6.1019
133,0.255598,32.562104,1,0.818181818181818,NA,1.56910318181818,"Uganda","central 1","Uganda DHS 2011",0,7.288292
138,0.244854,32.575221,1,0.590909090909091,NA,0.911104090909091,"Uganda","central 1","Uganda DHS 2011",1,48.31046
141,0.358547,32.639434,0.941176470588235,0.470588235294118,NA,0.842577058823529,"Uganda","central 1","Uganda DHS 2011",1,57.781266
145,0.387252,32.536992,0.8125,0.375,NA,0.95005875,"Uganda","central 1","Uganda DHS 2011",1,30.688112
149,0.267553,32.582811,1,0.727272727272727,NA,1.29129181818182,"Uganda","central 1","Uganda DHS 2011",1,13.541506
150,0.226449,32.557105,0.9375,0.625,NA,1.171080625,"Uganda","central 1","Uganda DHS 2011",1,123.879392
151,0.720866,32.905351,0.64,0,NA,0.0310856,"Uganda","central 2","Uganda DHS 2011",0,9.89005
152,1.20898,32.82374,0.583333333333333,0,NA,-0.551984583333333,"Uganda","central 2","Uganda DHS 2011",1,37.742328
155,0.745331,32.989808,0.608695652173913,0.0434782608695652,NA,-0.267908260869565,"Uganda","central 2","Uganda DHS 2011",1,24.655011
157,0.656998,32.940866,0.772727272727273,0.272727272727273,NA,0.311347272727273,"Uganda","central 2","Uganda DHS 2011",1,37.526632
158,0.915711,31.749263,0.894736842105263,0.157894736842105,NA,0.771626842105263,"Uganda","central 2","Uganda DHS 2011",0,37.428214
161,1.191574,31.790788,0.91304347826087,0.0869565217391304,NA,0.245773043478261,"Uganda","central 2","Uganda DHS 2011",1,13.309594
